,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
627,Volkswagen Polo -,PLATINUM,Bangalore,599899,36928,Petrol, 2nd Owner,2015,Volkswagen
628,Maruti Suzuki Dzire,PLATINUM,Bangalore,710199,22854,Petrol, 2nd Owner,2018,Maruti
629,Hyundai i20 -,PLATINUM,Bangalore,474399,89156,Petrol, 1st Owner,2014,Hyundai
630,Maruti Suzuki Baleno,PLATINUM,Chennai,701399,41999,Petrol, 2nd Owner,2019,Maruti
631,Honda City -,PLATINUM,Chennai,834599,66145,Petrol, 2nd Owner,2017,Honda
632,Maruti Suzuki Alto,PLATINUM,Bangalore,333699,29157,Petrol, 2nd Owner,2017,Maruti
633,Hyundai EON Era,PLATINUM,Chennai,349799,33882,Petrol, 2nd Owner,2017,Hyundai
634,Hyundai EON Era,PLATINUM,Bangalore,286199,29379,Petrol, 2nd Owner,2013,Hyundai
635,Maruti Suzuki Alto,PLATINUM,Bangalore,386699,17352,Petrol, 2nd Owner,2019,Maruti
636,Toyota Fortuner 3.0,GOLD,Chennai,1050000,195000,Diesel,,2011,Toyota
637,Maruti Suzuki Swift,GOLD,Chennai,695000,16189,Petrol,,2020,Maruti
638,Maruti Suzuki Swift,GOLD,Chennai,695000,41341,Diesel,,2018,Maruti
639,Tata Tiago Revotorq,GOLD,Pune,550000,62000,Diesel,,2019,Tata
640,Hyundai Creta 1.6,GOLD,Delhi,1300000,19000,Diesel, 1st Owner,2021,Hyundai
641,Maruti Suzuki Ritz,GOLD,Jaipur,225000,56000,Petrol,,2011,Maruti
642,Maruti Suzuki Wagon,GOLD,Chennai,250000,91000,Petrol,,2010,Maruti
643,Renault Triber -,PLATINUM,Bangalore,659199,13486,Petrol, 1st Owner,2019,Renault
644,Hyundai Grand i10,PLATINUM,Chennai,572599,33562,Petrol, 2nd Owner,2018,Hyundai
645,Hyundai Verna -,PLATINUM,Pune,1171199,13691,Petrol, 2nd Owner,2018,Hyundai
646,Hyundai Grand i10,PLATINUM,Bangalore,557199,31980,Petrol, 2nd Owner,2017,Hyundai
647,Hyundai Grand i10,PLATINUM,Chennai,531399,69526,Petrol, 2nd Owner,2016,Hyundai
648,Maruti Suzuki Alto,PLATINUM,Bangalore,426199,21492,Petrol, 2nd Owner,2016,Maruti
649,Maruti Suzuki Celerio,PLATINUM,Chennai,432999,47425,Petrol, 1st Owner,2016,Maruti
650,Hyundai Grand i10,PLATINUM,Pune,458399,40988,Petrol, 2nd Owner,2016,Hyundai
651,Jeep Compass -,PLATINUM,Chennai,1465199,51983,Diesel, 2nd Owner,2018,Jeep
652,Maruti Suzuki Vitara,PLATINUM,Pune,783099,69376,Diesel, 2nd Owner,2018,Maruti
653,Maruti Suzuki Swift,PLATINUM,Chennai,562399,33094,Petrol, 2nd Owner,2017,Maruti
654,Tata Tiago -,PLATINUM,Bangalore,529199,26237,Petrol, 3rd Owner,2017,Tata
655,Honda Brio -,PLATINUM,Bangalore,447199,42415,Petrol, 1st Owner,2015,Honda
656,Hyundai Creta -,PLATINUM,Pune,944099,112308,Diesel, 2nd Owner,2016,Hyundai
657,Maruti Suzuki Celerio,PLATINUM,Bangalore,452099,61427,Petrol, 1st Owner,2017,Maruti
658,MG Motors Hector,PLATINUM,Bangalore,1917599,10205,Diesel, 2nd Owner,2019,MG
659,Maruti Suzuki Alto,GOLD,Chennai,179000,67000,Petrol,,2011,Maruti
660,Toyota Innova 2.5,GOLD,Chennai,775000,160000,Diesel,,2010,Toyota
661,Maruti Suzuki Ertiga,GOLD,Kolkata,425000,53000,Diesel,,2013,Maruti
662,Maruti Suzuki Swift,GOLD,Hyderabad,550000,59888,Petrol,,2017,Maruti
663,Maruti Suzuki Ciaz,GOLD,Hyderabad,795000,58492,Petrol, 1st Owner,2018,Maruti
664,Honda City 1.5,GOLD,Kolkata,350888,45000,Petrol, 1st Owner,2011,Honda
665,Maruti Suzuki Swift,GOLD,Kolkata,275000,48000,Diesel,,2012,Maruti
666,Tata Nexon XZ,GOLD,Chennai,890000,34000,Petrol,,2018,Tata
667,Maruti Suzuki Swift,PLATINUM,Chennai,580599,75691,Diesel, 2nd Owner,2017,Maruti
668,Maruti Suzuki Alto,PLATINUM,Chennai,223299,84301,Petrol, 3rd Owner,2013,Maruti
669,Tata Tiago -,PLATINUM,Bangalore,600399,38346,Petrol, 2nd Owner,2019,Tata
670,Maruti Suzuki Alto,PLATINUM,Chennai,367399,41530,Petrol, 2nd Owner,2017,Maruti
671,Ford Ecosport -,PLATINUM,Pune,704099,23049,Petrol, 2nd Owner,2017,Ford
672,Maruti Suzuki Wagon,PLATINUM,Bangalore,377899,74510,Petrol, 1st Owner,2016,Maruti
673,Maruti Suzuki Wagon,PLATINUM,Bangalore,458699,20141,Petrol, 2nd Owner,2016,Maruti
674,Ford Ecosport -,PLATINUM,Chennai,566199,85860,Petrol, 2nd Owner,2015,Ford
675,Maruti Suzuki Swift,PLATINUM,Pune,594599,63133,Diesel, 1st Owner,2017,Maruti
676,Maruti Suzuki Dzire,PLATINUM,Bangalore,678699,71894,Petrol, 2nd Owner,2018,Maruti
677,Renault Duster -,PLATINUM,Bangalore,883099,95627,Diesel, 2nd Owner,2017,Renault
678,Ford Ecosport -,PLATINUM,Pune,578099,75324,Diesel, 2nd Owner,2014,Ford
679,Maruti Suzuki Alto,PLATINUM,Pune,305899,64611,Petrol, 2nd Owner,2015,Maruti
680,Maruti Suzuki Celerio,PLATINUM,Bangalore,457399,77128,Petrol, 3rd Owner,2016,Maruti
681,Maruti Suzuki Alto,PLATINUM,Bangalore,316799,36306,Petrol, 1st Owner,2016,Maruti
682,Hyundai i20 Asta,PLATINUM,Bangalore,399999,83803,Petrol, 1st Owner,2011,Hyundai
683,Mahindra XUV 500,GOLD,Mumbai,1100000,44000,Diesel, 1st Owner,2018,Mahindra
684,Mahindra KUV100 K4,GOLD,Chennai,325000,108000,Diesel,,2018,Mahindra
685,Hyundai i20 Era,GOLD,Chennai,550000,55000,Diesel,,2018,Hyundai
686,Honda City 1.5,GOLD,Kolkata,990888,700,Petrol, 1st Owner,2020,Honda
687,Mahindra Jeep CL,GOLD,Ahmedabad,480000,25,Diesel,,2020,Mahindra
688,Maruti Suzuki Gypsy,GOLD,Hyderabad,500000,258,Petrol,,2018,Maruti
689,Maruti Suzuki Swift,GOLD,Chennai,390000,81152,Diesel,,2011,Maruti
690,Toyota Fortuner 3.0,GOLD,Chennai,1750000,155000,Diesel,,2015,Toyota
691,Hyundai i20 Asta,PLATINUM,Bangalore,399999,83803,Petrol, 1st Owner,2011,Hyundai
692,Hyundai Creta 1.6,PLATINUM,Chennai,841499,75398,Petrol, 2nd Owner,2017,Hyundai
693,Honda City ZX,PLATINUM,Bangalore,1016899,42317,Petrol, 1st Owner,2017,Honda
694,Maruti Suzuki Swift,PLATINUM,Bangalore,748599,60214,Diesel, 2nd Owner,2018,Maruti
695,Maruti Suzuki Swift,PLATINUM,Pune,622099,58861,Diesel, 2nd Owner,2017,Maruti
696,Volkswagen Polo -,PLATINUM,Pune,530699,27995,Petrol, 2nd Owner,2016,Volkswagen
697,Maruti Suzuki Celerio,PLATINUM,Bangalore,471899,61018,Petrol, 2nd Owner,2017,Maruti
698,Maruti Suzuki Swift,PLATINUM,Chennai,505399,67109,Petrol, 2nd Owner,2015,Maruti
699,Maruti Suzuki Wagon,PLATINUM,Chennai,460299,81811,Petrol, 2nd Owner,2017,Maruti
700,Hyundai Verna 1.6,PLATINUM,Pune,683999,27357,Petrol, 1st Owner,2017,Hyundai
701,Volkswagen Polo HIGHLINE1.2L,PLATINUM,Bangalore,639699,53293,Petrol, 3rd Owner,2018,Volkswagen
702,Maruti Suzuki Celerio,PLATINUM,Bangalore,510499,45260,Petrol, 2nd Owner,2017,Maruti
703,Hyundai Venue -,PLATINUM,Pune,1185499,3139,Petrol, 2nd Owner,2019,Hyundai
704,Maruti Suzuki Celerio,PLATINUM,Bangalore,471899,44690,Petrol, 1st Owner,2017,Maruti
705,Hyundai Santro ASTA,PLATINUM,Bangalore,579899,13858,Petrol, 1st Owner,2019,Hyundai
706,Maruti Suzuki Alto,PLATINUM,Bangalore,333699,25256,Petrol, 2nd Owner,2017,Maruti
707,Hyundai i20 Magna,GOLD,Bangalore,385000,94000,Diesel,,2012,Hyundai
708,Maruti Suzuki Ciaz,GOLD,Delhi,590000,44100,Hybrid, 1st Owner,2016,Maruti
709,Honda Amaze 1.2,GOLD,Kolkata,375888,47000,Petrol, 1st Owner,2016,Honda
710,Hyundai Santa Fe,GOLD,Mumbai,775000,126000,Diesel,,2012,Hyundai
711,Mahindra XUV 500,GOLD,Kolkata,778888,46000,Diesel, 1st Owner,2015,Mahindra
712,Audi Q5 2.0,GOLD,Mumbai,1850000,75000,Diesel,,2014,Audi
713,Mercedes Benz GLE,GOLD,Mumbai,7500000,35000,Petrol,,2019,Mercedes
714,Volvo XC60 D3,GOLD,Mumbai,1750000,86000,Diesel, 2nd Owner,2012,Volvo
715,Volkswagen Polo COMFORTLINE,PLATINUM,Bangalore,582899,15227,Petrol, 1st Owner,2017,Volkswagen
716,Volkswagen Polo -,PLATINUM,Chennai,414099,87375,Diesel, 1st Owner,2014,Volkswagen
717,Maruti Suzuki Eeco,PLATINUM,Chennai,516599,7679,Petrol, 2nd Owner,2020,Maruti
